SchoolN,State Name,NCESSCH,School Name,Agency Name
SHADY SPRING ELEMENTARY,Maryland,240012000474,Shady Spring Elementary,Baltimore County Public Schools
SHARP-LEADENHALL ELEMENTARY/MIDDLE,Maryland,240009001369,Sharp-Leadenhall Elementary,Baltimore City Public Schools
SHARPSBURG ELEMENTARY,Maryland,240066001284,Sharpsburg Elementary,Washingtion County Public Schools
SHERWOOD ELEMENTARY,Maryland,240048000920,Sherwood Elementary,Montgomery County Public Schools
SHERWOOD HIGH,Maryland,240048000921,Sherwood High,Montgomery County Public Schools
SHILOH MIDDLE,Maryland,240021002947,Shiloh Middle,Carroll County Public Schools
SHIPLEY'S CHOICE ELEMENTARY,Maryland,240006001421,Shipley's Choice Elementary,Anne Arundel County Public Schools
SHOWELL ELEMENTARY,Maryland,240072001498,Showell Elementary,Worcester County Public Schools
SILVER CREEK MIDDLE,MARYLAND,240048001741,Silver Creek Middle,Montgomery County Public Schools
SILVER SPRING INTERNATIONAL MIDDLE,Maryland,240048001128,Silver Spring International Middle,Montgomery County Public Schools
SINCLAIR LANE ELEMENTARY,Maryland,240009000313,Sinclair Lane Elementary,Baltimore City Public Schools
SLIGO CREEK ELEMENTARY,Maryland,240048001122,Sligo Creek Elementary,Montgomery County Public Schools
SLIGO MIDDLE,Maryland,240048001458,Sligo Middle,Montgomery County Public Schools
SMITHSBURG ELEMENTARY,Maryland,240066001286,Smithsburg Elementary,Washingtion County Public Schools
SMITHSBURG HIGH,Maryland,240066001285,Smithsburg High,Washingtion County Public Schools
SMITHSBURG MIDDLE,Maryland,240066001287,Smithsburg Middle,Washingtion County Public Schools
SNOW HILL ELEMENTARY,Maryland,240072001332,Snow Hill Elementary,Worcester County Public Schools
SNOW HILL HIGH,Maryland,240072001334,Snow Hill High,Worcester County Public Schools
SNOW HILL MIDDLE,Maryland,240072001333,Snow Hill Middle,Worcester County Public Schools
SOLLERS POINT TECHNICAL HIGH SCHOOL,Maryland,240012000938,Sollers Point/Southeastern Technical High,Baltimore County Public Schools
SOLLEY ELEMENTARY,Maryland,240006000129,Solley Elementary,Anne Arundel County Public Schools
SOMERSET 6/7 INTERMEDIATE SCHOOL,Maryland,240057001377,Somerset 6/7 Intermediate School,Somerset County Public Schools
SOMERSET COUNTY TECHNICAL HIGH SCHOOL,Maryland,240057001083,J. M. Tawes Vocational Center,Somerset County Public Schools
SOMERSET ELEMENTARY,Maryland,240048000923,Somerset Elementary,Montgomery County Public Schools
SOUTH CARROLL HIGH,Maryland,240021000546,South Carroll High,Carroll County Public Schools
SOUTH DORCHESTER SCHOOL,Maryland,240030000622,South Dorchester School,Dorchester County Public Schools
SOUTH HAGERSTOWN HIGH,Maryland,240066001288,South Hagerstown High,Washingtion County Public Schools
SOUTH LAKE ELEMENTARY,Maryland,240048000924,South Lake Elementary,Montgomery County Public Schools
SOUTH PENN ELEMENTARY,Maryland,240003001359,South Penn Elementary,Allegany County Public Schools
SOUTH RIVER HIGH,Maryland,240006000055,South River High,Anne Arundel County Public Schools
SOUTH SHORE ELEMENTARY,Maryland,240006000130,South Shore Elementary,Anne Arundel County Public Schools
SOUTHAMPTON MIDDLE,Maryland,240039000682,Southampton Middle,Harford County Public Schools
SOUTHERN GARRETT HIGH SCHOOL,Maryland,240036000674,Southern Garrett High School,Garrett County Public Schools
SOUTHERN HIGH,Maryland,240006000132,Southern High,Anne Arundel County Public Schools
SOUTHERN MIDDLE,Maryland,240006000131,Southern Middle,Anne Arundel County Public Schools
SOUTHERN MIDDLE,Maryland,240015001392,Southern Middle,Calvert County Public Schools
SOUTHERN MIDDLE SCHOOL,Maryland,240036000675,Southern Middle School,Garrett County Public Schools
SOUTHGATE ELEMENTARY,Maryland,240006000133,Southgate Elementary,Anne Arundel County Public Schools
SOUTHWEST ACADEMY,Maryland,240012000411,Southwest Academy,Baltimore County Public Schools
SOUTHWEST BALTIMORE CHARTER SCHOOL,Maryland,240009001527,Southwest Baltimore Charter School,Baltimore City Public Schools
SPARK M. MATSUNAGA ELEMENTARY,Maryland,240048001181,Spark M. Matsunaga Elementary School,Montgomery County Public Schools
SPARKS ELEMENTARY,Maryland,240012000476,Sparks Elementary,Baltimore County Public Schools
SPARROWS POINT HIGH,Maryland,240012000477,Sparrows Point High,Baltimore County Public Schools
SPARROWS POINT MIDDLE,MARYLAND,240012010500,Sparrows Point Middle,Baltimore County Public Schools
SPRING GARDEN ELEMENTARY,Maryland,240021090467,Spring Garden Elementary,Carroll County Public Schools
SPRING RIDGE ELEMENTARY,Maryland,240033090472,Spring Ridge Elementary,Frederick County Public Schools
SPRING RIDGE MIDDLE,Maryland,240060001237,Spring Ridge Middle,St. Mary's County Public Schools
SPRINGBROOK HIGH,Maryland,240048000926,Springbrook High,Montgomery County Public Schools
SPRINGFIELD MIDDLE,Maryland,240066001290,Springfield Middle,Washingtion County Public Schools
SPRINGHILL LAKE ELEMENTARY,Maryland,240051001160,Springhill Lake Elementary,Prince George's County Public Schools
ST LEONARD ELEMENTARY,Maryland,240015000778,St Leonard Elementary,Calvert County Public Schools
ST. CHARLES HIGH SCHOOL,MARYLAND,240027001727,St. Charles High School,Charles County Public Schools
ST. JOHNS LANE ELEMENTARY,Maryland,240042000753,St. Johns Lane Elementary,Howard County Public Schools
ST. MARY'S COUNTY EVENING HIGH,MARYLAND,240060001745,St. Mary's County Evening High,St. Mary's County Public Schools
ST. MICHAELS ELEMENTARY,Maryland,240063001247,St. Michaels Elementary,Talbot County Public Schools
ST. MICHAELS MIDDLE/HIGH SCHOOL,Maryland,240063001248,St. Michaels Middle/High School,Talbot County Public Schools
STADIUM SCHOOL,Maryland,240009000571,Stadium School,Baltimore City Public Schools
STEDWICK ELEMENTARY,Maryland,240048000927,Stedwick Elementary,Montgomery County Public Schools
STEMMERS RUN MIDDLE,Maryland,240012000478,Stemmers Run Middle,Baltimore County Public Schools
STEPHEN DECATUR HIGH,Maryland,240072001335,Stephen Decatur High,Worcester County Public Schools
STEPHEN DECATUR MIDDLE,Maryland,240072000880,Stephen Decatur Middle,Worcester County Public Schools
STEPHEN DECATUR MIDDLE,Maryland,240051001469,Stephen Decatur Middle,Prince George's County Public Schools
STEPHEN KNOLLS SCHOOL,Maryland,240048000496,Stephen Knolls School,Montgomery County Public Schools
STEUART HILL ACADEMIC ACADEMY,Maryland,240009000319,Steuart Hill Academic Academy,Baltimore City Public Schools
STEVENS FOREST ELEMENTARY,Maryland,240042000754,Stevens Forest Elementary,Howard County Public Schools
STEVENSVILLE MIDDLE SCHOOL,Maryland,240054001196,Stevensville Middle School,Queen Anne's County Public Schools
STONE MILL ELEMENTARY,Maryland,240048001513,Stone Mill Elementary,Montgomery County Public Schools
STONEGATE ELEMENTARY,Maryland,240048000929,Stonegate Elementary,Montgomery County Public Schools
STONELEIGH ELEMENTARY,Maryland,240012000479,Stoneleigh Elementary,Baltimore County Public Schools
STRATHMORE ELEMENTARY,Maryland,240048000930,Strathmore Elementary,Montgomery County Public Schools
STRAWBERRY KNOLL ELEMENTARY,Maryland,240048001512,Strawberry Knoll Elementary,Montgomery County Public Schools
STUDIO 39,MARYLAND,240006001728,Studio 39,Anne Arundel County Public Schools
SUDBROOK MAGNET MIDDLE,Maryland,240012000441,Sudbrook Magnet Middle,Baltimore County Public Schools
SUDLERSVILLE ELEMENTARY SCHOOL,Maryland,240054001197,Sudlersville Elementary School,Queen Anne's County Public Schools
SUDLERSVILLE MIDDLE SCHOOL,Maryland,240054001198,Sudlersville Middle School,Queen Anne's County Public Schools
SUITLAND ELEMENTARY,Maryland,240051001453,Suitland Elementary,Prince George's County Public Schools
SUITLAND HIGH,Maryland,240051001164,Suitland High,Prince George's County Public Schools
SUMMIT HALL ELEMENTARY,Maryland,240048000931,Summit Hall Elementary,Montgomery County Public Schools
SUMMIT PARK ELEMENTARY,Maryland,240012000481,Summit Park Elementary,Baltimore County Public Schools
SUNDERLAND ELEMENTARY,Maryland,240015001505,Sunderland Elementary,Calvert County Public Schools
SUNSET ELEMENTARY,Maryland,240006000134,Sunset Elementary,Anne Arundel County Public Schools
SURRATTSVILLE HIGH,Maryland,240051001167,Surrattsville High,Prince George's County Public Schools
SUSSEX ELEMENTARY,Maryland,240012000482,Sussex Elementary,Baltimore County Public Schools
SWAN MEADOW SCHOOL,Maryland,240036000676,Swan Meadow School,Garrett County Public Schools
SWANSFIELD ELEMENTARY,Maryland,240042000755,Swansfield Elementary,Howard County Public Schools
SYKESVILLE MIDDLE,Maryland,240021000547,Sykesville Middle,Carroll County Public Schools
T. C. MARTIN ELEMENTARY SCHOOL,Maryland,240027000606,T. C. Martin Elementary School,Charles County Public Schools
TAKOMA PARK ELEMENTARY,Maryland,240048000932,Takoma Park Elementary,Montgomery County Public Schools
TAKOMA PARK MIDDLE,Maryland,240048000933,Takoma Park Middle School,Montgomery County Public Schools
TALBOTT SPRINGS ELEMENTARY,Maryland,240042000756,Talbott Springs Elementary,Howard County Public Schools
TALL OAKS HIGH,Maryland,240051001424,Tall Oaks High,Prince George's County Public Schools
TANEYTOWN ELEMENTARY,Maryland,240021000548,Taneytown Elementary,Carroll County Public Schools
TANGLEWOOD REGIONAL CENTER,Maryland,240051001169,Tanglewood Regional Center,Prince George's County Public Schools
TAYAC ELEMENTARY,Maryland,240051001170,Tayac Elementary,Prince George's County Public Schools
TEMPLETON ELEMENTARY,Maryland,240051001171,Templeton Elementary,Prince George's County Public Schools
TENCH TILGHMAN ELEMENTARY/MIDDLE,Maryland,240009000320,Tench Tilghman Elementary/Middle,Baltimore City Public Schools
THE BELAIR-EDISON SCHOOL,Maryland,240009000161,Brehms Lane Public Charter School,Baltimore City Public Schools
THE CROSSROADS SCHOOL,Maryland,240009001291,The Crossroads School,Baltimore City Public Schools
THE GREEN SCHOOL OF BALTIMORE,Maryland,240009001571,The Green School of Baltimore,Baltimore City Public Schools
THE HISTORIC CHERRY HILL ELEMENTARY/MIDDLE,Maryland,240009000171,Cherry Hill Elementary/Middle,Baltimore City Public Schools
THE HISTORIC SAMUEL COLERIDGE-TAYLOR ELEMENTARY,Maryland,240009000309,The Historic Samuel Coleridge-Taylor Elementary,Baltimore City Public Schools
THE MOUNT WASHINGTON SCHOOL,Maryland,240009000286,The Mount Washington School,Baltimore City Public Schools
THE REACH! PARTNERSHIP SCHOOL,Maryland,240009001663,The Reach! Partnership School,Baltimore City Public Schools
THE SEED SCHOOL OF MARYLAND,Maryland,240002701669,The Seed School of Maryland,SEED School of Maryland
THEODORE G. DAVIS MIDDLE SCHOOL,Maryland,240027001647,Theodore G. Davis Middle School,Charles County Public Schools
THOMAS EDISON HIGH SCHOOL OF TECHNOLOGY,Maryland,240048001045,Thomas Edison High School of Technology,Montgomery County Public Schools
THOMAS G. PULLEN SCHOOL,Maryland,240051001174,Thomas G. Pullen School,Prince George's County Public Schools
THOMAS JEFFERSON ELEMENTARY/MIDDLE,Maryland,240009000322,Thomas Jefferson Elementary/Middle,Baltimore City Public Schools
THOMAS JOHNSON ELEMENTARY/MIDDLE,Maryland,240009000323,Thomas Johnson Elementary/Middle,Baltimore City Public Schools
THOMAS JOHNSON MIDDLE,Maryland,240051001175,Thomas Johnson Middle,Prince George's County Public Schools
THOMAS S. STONE ELEMENTARY,Maryland,240051001176,Thomas S. Stone Elementary,Prince George's County Public Schools
THOMAS S. WOOTTON HIGH,Maryland,240048000934,Thomas S. Wootton High,Montgomery County Public Schools
THOMAS STONE HIGH SCHOOL,Maryland,240027000607,Thomas Stone High School,Charles County Public Schools
THOMAS VIADUCT,MARYLAND,240042001720,Thomas Viaduct,Howard County Public Schools
THOMAS W. PYLE MIDDLE,Maryland,240048009000,Thomas W. Pyle Middle School,Montgomery County Public Schools
THOMSON ESTATES ELEMENTARY,Maryland,240024000581,Thomson Estates Elementary,Cecil County Public Schools
THUNDER HILL ELEMENTARY,Maryland,240042000757,Thunder Hill Elementary,Howard County Public Schools
THURGOOD MARSHALL ELEMENTARY,Maryland,240048000404,Thurgood Marshall Elementary,Montgomery County Public Schools
THURGOOD MARSHALL MIDDLE SCHOOL,Maryland,240051001465,Thurgood Marshall Middle School,Prince George's County Public Schools
THURMONT ELEMENTARY,Maryland,240033000650,Thurmont Elementary,Frederick County Public Schools
THURMONT MIDDLE,Maryland,240033000651,Thurmont Middle,Frederick County Public Schools
THURMONT PRIMARY,Maryland,240033001166,Thurmont Primary,Frederick County Public Schools
TILDEN MIDDLE,Maryland,240048001450,Tilden Middle School,Montgomery County Public Schools
TILGHMAN ELEMENTARY,Maryland,240063001250,Tilghman Elementary,Talbot County Public Schools
TIMBER GROVE ELEMENTARY,Maryland,240012000484,Timber Grove Elementary,Baltimore County Public Schools
TIMONIUM ELEMENTARY,Maryland,240012001433,Timonium Elementary,Baltimore County Public Schools
TOWN CREEK ELEMENTARY,Maryland,240060001239,Town Creek Elementary,St. Mary's County Public Schools
TOWSON HIGH,Maryland,240012000487,Towson High Law & Public Policy,Baltimore County Public Schools
TRACEYS ELEMENTARY,Maryland,240006000135,Traceys Elementary,Anne Arundel County Public Schools
TRAVILAH ELEMENTARY,Maryland,240048000937,Travilah Elementary,Montgomery County Public Schools
TRIADELPHIA RIDGE ELEMENTARY,Maryland,240042001026,Triadelphia Ridge Elementary,Howard County Public Schools
TULIP GROVE ELEMENTARY,Maryland,240051001177,Tulip Grove Elementary,Prince George's County Public Schools
TUNBRIDGE PUBLIC CHARTER SCHOOL,Maryland,240009001689,Tunbridge Public Charter School,Baltimore City Public Schools
TUSCARORA ELEMENTARY,Maryland,240033001355,Tuscarora Elementary,Frederick County Public Schools
TUSCARORA HIGH,Maryland,240033001550,Tuscarora High,Frederick County Public Schools
TWIN RIDGE ELEMENTARY,Maryland,240033000159,Twin Ridge Elementary,Frederick County Public Schools
TWINBROOK ELEMENTARY,Maryland,240048000939,Twinbrook Elementary,Montgomery County Public Schools
TYLER HEIGHTS ELEMENTARY,Maryland,240006000136,Tyler Heights Elementary,Anne Arundel County Public Schools
UNIVERSITY PARK ELEMENTARY,Maryland,240051001178,University Park Elementary,Prince George's County Public Schools
URBANA ELEMENTARY,Maryland,240033000652,Urbana Elementary,Frederick County Public Schools
URBANA HIGH,Maryland,240033000616,Urbana High,Frederick County Public Schools
URBANA MIDDLE,Maryland,240033001536,Urbana Middle,Frederick County Public Schools
VALLEY ELEMENTARY,Maryland,240033000653,Valley Elementary,Frederick County Public Schools
VALLEY VIEW ELEMENTARY,Maryland,240051001179,Valley View Elementary,Prince George's County Public Schools
VAN BOKKELEN ELEMENTARY,Maryland,240006000137,Van Bokkelen Elementary,Anne Arundel County Public Schools
VANGUARD COLLEGIATE MIDDLE,Maryland,240009001693,Vanguard Collegiate Middle,Baltimore City Public Schools
VANSVILLE ELEMENTARY,Maryland,240051001660,Vansville Elementary,Prince George's County Public Schools
VETERANS ELEMENTARY,Maryland,240042001646,Veterans Elementary,Howard County Public Schools
VICTORY VILLA ELEMENTARY,Maryland,240012000489,Victory Villa Elementary,Baltimore County Public Schools
VIENNA ELEMENTARY SCHOOL,Maryland,240030000624,Vienna Elementary School,Dorchester County Public Schools
VIERS MILL ELEMENTARY,Maryland,240048000940,Viers Mill Elementary,Montgomery County Public Schools
VILLA CRESTA ELEMENTARY,Maryland,240012000490,Villa Cresta Elementary,Baltimore County Public Schools
VINCENT FARM ELEMENTARY,Maryland,240012001653,Vincent Farm Elementary,Baltimore County Public Schools
VIOLETVILLE ELEMENTARY/MIDDLE,Maryland,240009000326,Violetville Elementary/Middle,Baltimore City Public Schools
VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,Maryland,240009001385,Vivien T. Thomas Medical Arts Academy,Baltimore City Public Schools
WALDON WOODS ELEMENTARY,Maryland,240051001180,Waldon Woods Elementary,Prince George's County Public Schools
WALKER MILL MIDDLE,Maryland,240051001477,Walker Mill Middle,Prince George's County Public Schools
WALKERSVILLE ELEMENTARY,Maryland,240033000654,Walkersville Elementary,Frederick County Public Schools
WALKERSVILLE HIGH,Maryland,240033000655,Walkersville High,Frederick County Public Schools
WALKERSVILLE MIDDLE,Maryland,240033000656,Walkersville Middle,Frederick County Public Schools
WALT WHITMAN HIGH,Maryland,240048000941,Walt Whitman High,Montgomery County Public Schools
WALTER J. MITCHELL ELEMENTARY SCHOOL,Maryland,240027000609,Walter J. Mitchell Elementary,Charles County Public Schools
WALTER JOHNSON HIGH,Maryland,240048000942,Walter Johnson High,Montgomery County Public Schools
WALTER P. CARTER ELEMENTARY/MIDDLE,Maryland,240009000328,Walter P. Carter Elementary/Middle,Baltimore City Public Schools
WALTER S. MILLS - PAROLE ELEMENTARY,Maryland,240006000112,Walter S. Mills - Parole Elementary,Anne Arundel County Public Schools
WARREN ELEMENTARY,Maryland,240012000491,Warren Elementary,Baltimore County Public Schools
WARWICK ELEMENTARY SCHOOL,Maryland,240030000625,Warwick Elementary School,Dorchester County Public Schools
WASHINGTON ACADEMY AND HIGH SCHOOL,Maryland,240057001213,Washington Academy and High School,Somerset County Public Schools
WASHINGTON COUNTY JOB DEVELOPMENT CENTER,Maryland,240066001484,Washington County Job Development Center,Washingtion County Public Schools
WASHINGTON GROVE ELEMENTARY,Maryland,240048000943,Washington Grove Elementary,Montgomery County Public Schools
WASHINGTON MIDDLE,Maryland,240003000031,Washington Middle,Allegany County Public Schools
WATERLOO ELEMENTARY,Maryland,240042000758,Waterloo Elementary,Howard County Public Schools
WATERS LANDING ELEMENTARY,Maryland,240048001508,Waters Landing Elementary,Montgomery County Public Schools
WATKINS MILL ELEMENTARY,Maryland,240048000944,Watkins Mill Elementary,Montgomery County Public Schools
WATKINS MILL HIGH,Maryland,240048001525,Watkins Mill High,Montgomery County Public Schools
WAUGH CHAPEL ELEMENTARY,Maryland,240006000138,Waugh Chapel Elementary,Anne Arundel County Public Schools
WAVERLEY ELEMENTARY,Maryland,240033000657,Waverley Elementary,Frederick County Public Schools
WAVERLY ELEMENTARY,Maryland,240042090449,Waverly Elementary,Howard County Public Schools
WAVERLY ELEMENTARY/MIDDLE,Maryland,240009000329,Waverly Elementary/Middle,Baltimore City Public Schools
WAYSIDE ELEMENTARY,Maryland,240048000945,Wayside Elementary,Montgomery County Public Schools
WELLER ROAD ELEMENTARY,Maryland,240048000946,Weller Road Elementary,Montgomery County Public Schools
WELLWOOD INTERNATIONAL SCHOOL,Maryland,240012000492,Wellwood International Elementary,Baltimore County Public Schools
WEST ANNAPOLIS ELEMENTARY,Maryland,240006000139,West Annapolis Elementary,Anne Arundel County Public Schools
WEST FREDERICK MIDDLE,Maryland,240033000658,West Frederick Middle,Frederick County Public Schools
WEST FRIENDSHIP ELEMENTARY,Maryland,240042000760,West Friendship Elementary,Howard County Public Schools
WEST MEADE EARLY EDUCATION CENTER,Maryland,240006000140,West Meade Early Education Center,Anne Arundel County Public Schools
WEST SALISBURY,Maryland,240069001317,West Salisbury,Wicomico County Public Schools
WEST SIDE ELEMENTARY,Maryland,240003000032,West Side Elementary,Allegany County Public Schools
WEST TOWSON ELEMENTARY,Maryland,240012001696,West Towson Elementary,Baltimore County Public Schools
WESTBROOK ELEMENTARY,Maryland,240048000948,Westbrook Elementary,Montgomery County Public Schools
WESTCHESTER ELEMENTARY,Maryland,240012000936,Westchester Elementary,Baltimore County Public Schools
WESTERN HEIGHTS MIDDLE,Maryland,240066001293,Western Heights Middle,Washingtion County Public Schools
WESTERN HIGH,Maryland,240009000330,Western High,Baltimore City Public Schools
WESTERN SCHOOL OF TECHNOLOGY,Maryland,240012000248,Western School of Technology & Env. Science,Baltimore County Public Schools
WESTERNPORT ELEMENTARY,Maryland,240003000033,Westernport Elementary,Allegany County Public Schools
WESTLAKE HIGH SCHOOL,Maryland,240027000144,Westlake High School,Charles County Public Schools
WESTLAND MIDDLE,Maryland,240048000949,Westland Middle,Montgomery County Public Schools
WESTMAR MIDDLE,Maryland,240003000007,Westmar Middle,Allegany County Public Schools
WESTMINSTER EAST MIDDLE,Maryland,240021000550,Westminster East Middle,Carroll County Public Schools
WESTMINSTER ELEMENTARY,Maryland,240021000551,Westminster Elementary,Carroll County Public Schools
WESTMINSTER HIGH,Maryland,240021000552,Westminster High,Carroll County Public Schools
WESTMINSTER WEST MIDDLE,Maryland,240021000553,Westminster West Middle,Carroll County Public Schools
WESTOVER ELEMENTARY,Maryland,240048000950,Westover Elementary,Montgomery County Public Schools
WESTOWNE ELEMENTARY,Maryland,240012000495,Westowne Elementary,Baltimore County Public Schools
WESTPORT ACADEMY,Maryland,240009000331,Westport Academy,Baltimore City Public Schools
WESTSIDE INTERMEDIATE,Maryland,240069001149,Westside Intermediate,Wicomico County Public Schools
WESTSIDE PRIMARY,Maryland,240069001318,Westside Primary,Wicomico County Public Schools
WHEATON HIGH,Maryland,240048000951,Wheaton High,Montgomery County Public Schools
WHEATON WOODS ELEMENTARY,Maryland,240048000952,Wheaton Woods Elementary,Montgomery County Public Schools
WHETSTONE ELEMENTARY,Maryland,240048000953,Whetstone Elementary,Montgomery County Public Schools
WHITE MARSH ELEMENTARY,Maryland,240063001252,White Marsh Elementary,Talbot County Public Schools
WHITE MARSH ELEMENTARY,Maryland,240060001240,White Marsh Elementary,St. Mary's County Public Schools
WHITE OAK MIDDLE,Maryland,240048000954,White Oak Middle,Montgomery County Public Schools
WHITE OAK SCHOOL,Maryland,240012001435,White Oak School,Baltimore County Public Schools
WHITEHALL ELEMENTARY,Maryland,240051001461,Whitehall Elementary,Prince George's County Public Schools
WHITTIER ELEMENTARY,Maryland,240033001015,Whittier Elementary,Frederick County Public Schools
WICOMICO COUNTY EVENING HIGH,Maryland,240069001088,Wicomico County Evening High,Wicomico County Public Schools
WICOMICO HIGH,Maryland,240069001320,Wicomico High,Wicomico County Public Schools
WICOMICO MIDDLE,Maryland,240069001319,Wicomico Middle,Wicomico County Public Schools
WILDE LAKE HIGH,Maryland,240042000762,Wilde Lake High,Howard County Public Schools
WILDE LAKE MIDDLE,Maryland,240042000763,Wilde Lake Middle,Howard County Public Schools
WILDWOOD ELEMENTARY/MIDDLE,Maryland,240009000273,Wildwood Elementary/Middle,Baltimore City Public Schools
WILEY H. BATES MIDDLE,Maryland,240006000041,Wiley H. Bates Middle,Anne Arundel County Public Schools
WILLARDS ELEMENTARY,Maryland,240069001322,Willards Elementary,Wicomico County Public Schools
WILLIAM A. DIGGS ELEMENTARY SCHOOL,Maryland,240027001565,William A. Diggs Elementary,Charles County Public Schools
WILLIAM B. GIBBS JR. ELEMENTARY,Maryland,240048001673,William B. Gibbs Jr. Elementary,Montgomery County Public Schools
WILLIAM B. WADE ELEMENTARY SCHOOL,Maryland,240027001519,William B. Wade Elementary School,Charles County Public Schools
WILLIAM BEANES ELEMENTARY,Maryland,240051001184,William Beanes Elementary,Prince George's County Public Schools
WILLIAM H. FARQUHAR MIDDLE,Maryland,240048000957,William H. Farquhar Middle,Montgomery County Public Schools
WILLIAM PACA ELEMENTARY,Maryland,240051000729,William Paca Elementary,Prince George's County Public Schools
WILLIAM PACA ELEMENTARY,Maryland,240009000334,William Paca Elementary,Baltimore City Public Schools
WILLIAM S. BAER SCHOOL,Maryland,240009000336,William S. Baer School,Baltimore City Public Schools
WILLIAM S. JAMES ELEMENTARY,Maryland,240039000715,William S. James Elementary,Harford County Public Schools
WILLIAM SCHMIDT ENVIRONMENTAL CENTER,Maryland,240051002950,William Schmidt Environmental Center,Prince George's County Public Schools
WILLIAM TYLER PAGE ELEMENTARY,Maryland,240048000955,William Tyler Page Elementary,Montgomery County Public Schools
WILLIAM W. HALL ACADEMY,Maryland,240051001462,William W. Hall Academy,Prince George's County Public Schools
WILLIAM WINCHESTER ELEMENTARY,Maryland,240021000554,William Winchester Elementary,Carroll County Public Schools
WILLIAM WIRT MIDDLE,Maryland,240051001186,William Wirt Middle,Prince George's County Public Schools
WILLIAMSPORT ELEMENTARY,Maryland,240066001294,Williamsport Elementary,Washingtion County Public Schools
WILLIAMSPORT HIGH,Maryland,240066001295,Williamsport High,Washingtion County Public Schools
WILSON WIMS ELEMENTARY SCHOOL,MARYLAND,240048001721,Wilson Wims Elementary School,Montgomery County Public Schools
WINAND ELEMENTARY,Maryland,240012000497,Winand Elementary,Baltimore County Public Schools
WINDSOR FARM ELEMENTARY,Maryland,240006001516,Windsor Farm Elementary,Anne Arundel County Public Schools
WINDSOR HILLS ELEMENTARY/MIDDLE,Maryland,240009000337,Windsor Hills Elementary/Middle,Baltimore City Public Schools
WINDSOR KNOLLS MIDDLE,Maryland,240033000392,Windsor Knolls Middle,Frederick County Public Schools
WINDSOR MILL MIDDLE,Maryland,240012001574,Windsor Mill Middle,Baltimore County Public Schools
WINDY HILL ELEMENTARY,Maryland,240015000790,Windy Hill Elementary,Calvert County Public Schools
WINDY HILL MIDDLE,Maryland,240015000967,Windy Hill Middle,Calvert County Public Schools
WINFIELD ELEMENTARY,Maryland,240012000498,Winfield Elementary,Baltimore County Public Schools
WINFIELD ELEMENTARY,Maryland,240021000555,Winfield Elementary,Carroll County Public Schools
WINSTON CHURCHILL HIGH,Maryland,240048000956,Winston Churchill High,Montgomery County Public Schools
WINTERS MILL HIGH,Maryland,240021001185,Winters Mill High,Carroll County Public Schools
WOLFE STREET ACADEMY,Maryland,240009000215,Wolfe Street Academy,Baltimore City Public Schools
WOLFSVILLE ELEMENTARY,Maryland,240033000659,Wolfsville Elementary,Frederick County Public Schools
WOOD ACRES ELEMENTARY,Maryland,240048000958,Wood Acres Elementary,Montgomery County Public Schools
WOODBRIDGE ELEMENTARY,Maryland,240012000499,Woodbridge Elementary,Baltimore County Public Schools
WOODFIELD ELEMENTARY,Maryland,240048000959,Woodfield Elementary,Montgomery County Public Schools
WOODHOLME ELEMENTARY,Maryland,240012001405,Woodholme Elementary,Baltimore County Public Schools
WOODHOME ELEMENTARY/MIDDLE,Maryland,240009000339,Woodhome Elementary/Middle,Baltimore City Public Schools
WOODLAWN HIGH,Maryland,240012000502,Woodlawn High Center for Pre-Eng. Res.,Baltimore County Public Schools
WOODLAWN MIDDLE,Maryland,240012000501,Woodlawn Middle,Baltimore County Public Schools
WOODLIN ELEMENTARY,Maryland,240048000961,Woodlin Elementary,Montgomery County Public Schools
WOODMOOR ELEMENTARY,Maryland,240012000503,Woodmoor Elementary,Baltimore County Public Schools
WOODMORE ELEMENTARY,Maryland,240051001188,Woodmore Elementary,Prince George's County Public Schools
WOODRIDGE ELEMENTARY,Maryland,240051001386,Woodridge Elementary,Prince George's County Public Schools
WOODSIDE ELEMENTARY,Maryland,240006000142,Woodside Elementary,Anne Arundel County Public Schools
WORCESTER TECHNICAL HIGH SCHOOL,Maryland,240072001091,Worcester Technical High School,Worcester County Public Schools
WORTHINGTON ELEMENTARY,Maryland,240042000764,Worthington Elementary,Howard County Public Schools
WYNGATE ELEMENTARY,Maryland,240048000963,Wyngate Elementary,Montgomery County Public Schools
YELLOW SPRINGS ELEMENTARY,Maryland,240033000661,Yellow Springs Elementary,Frederick County Public Schools
YORKTOWN ELEMENTARY,Maryland,240051000200,Yorktown Elementary,Prince George's County Public Schools
YORKWOOD ELEMENTARY,Maryland,240009000340,Yorkwood Elementary,Baltimore City Public Schools
YOUGH GLADES ELEMENTARY,Maryland,240036000852,Yough Glades Elementary,Garrett County Public Schools
YOUTHS BENEFIT ELEMENTARY,Maryland,240039000717,Youths Benefit Elementary,Harford County Public Schools
