SchoolN,State Name,NCESSCH,School Name,Agency Name
H. W. WHEATLEY EARLY CHILDHOOD CENTER,Maryland,240051001053,H. W. Wheatley Early Childhood Center,Prince George's County Public Schools
HALETHORPE ELEMENTARY,Maryland,240012000398,Halethorpe Elementary,Baltimore County Public Schools
HALLIE WELLS MIDDLE,MARYLAND,240048001739,Hallie Wells Middle School,Montgomery County Public Schools
HALLS CROSS ROADS ELEMENTARY,Maryland,240039000693,Halls Cross Roads Elementary,Harford County Public Schools
HALSTEAD ACADEMY,Maryland,240012000407,Halstead Academy,Baltimore County Public Schools
HAMILTON ELEMENTARY/MIDDLE,Maryland,240009000231,Hamilton Elementary/Middle,Baltimore City Public Schools
HAMMOND ELEMENTARY,Maryland,240042000734,Hammond Elementary,Howard County Public Schools
HAMMOND HIGH,Maryland,240042000735,Hammond High,Howard County Public Schools
HAMMOND MIDDLE SCHOOL,Maryland,240042000736,Hammond Middle School,Howard County Public Schools
HAMPDEN ELEMENTARY/MIDDLE,Maryland,240009000233,Hampden Elementary/Middle,Baltimore City Public Schools
HAMPSTEAD ELEMENTARY,Maryland,240021000535,Hampstead Elementary,Carroll County Public Schools
HAMPSTEAD HILL ACADEMY,Maryland,240009000234,Hampstead Hill Academy,Baltimore City Public Schools
HAMPTON ELEMENTARY,Maryland,240012000399,Hampton Elementary,Baltimore County Public Schools
HANCOCK ELEMENTARY,Maryland,240066001269,Hancock Elementary,Washingtion County Public Schools
HANCOCK MIDDLE SENIOR HIGH,Maryland,240066001270,Hancock Middle Senior High,Washingtion County Public Schools
HANOVER HILLS,MARYLAND,240042001749,Hanover Hills,Howard County Public Schools
HARFORD ACADEMY AT CAMPUS HILLS,Maryland,240039000703,John Archer School,Harford County Public Schools
HARFORD HEIGHTS ELEMENTARY,Maryland,240009001153,Harford Heights Elementary,Baltimore City Public Schools
HARFORD HILLS ELEMENTARY,Maryland,240012000400,Harford Hills Elementary,Baltimore County Public Schools
HARFORD TECHNICAL HIGH,Maryland,240039000694,Harford Technical High,Harford County Public Schools
HARLEM PARK ELEMENTARY/MIDDLE,Maryland,240009000239,Harlem Park Elementary/Middle,Baltimore City Public Schools
HARMONY HILLS ELEMENTARY,Maryland,240048000848,Harmony Hills Elementary,Montgomery County Public Schools
HARPERS CHOICE MIDDLE,Maryland,240042000737,Harpers Choice Middle,Howard County Public Schools
HAVRE DE GRACE ELEMENTARY,Maryland,240039000695,Havre de Grace Elementary,Harford County Public Schools
HAVRE DE GRACE HIGH,Maryland,240039000697,Havre de Grace High,Harford County Public Schools
HAVRE DE GRACE MIDDLE,Maryland,240039000696,Havre de Grace Middle,Harford County Public Schools
HAWTHORNE ELEMENTARY,Maryland,240012000401,Hawthorne Elementary,Baltimore County Public Schools
HAZELWOOD ELEMENTARY/MIDDLE,Maryland,240009000241,Hazelwood Elementary/Middle,Baltimore City Public Schools
HEATHER HILLS ELEMENTARY,Maryland,240051001056,Heather Hills Elementary,Prince George's County Public Schools
HEATHER RIDGE,Maryland,240033001410,Heather Ridge High School,Frederick County Public Schools
HEATHER RIDGE MIDDLE SCHOOL,Maryland,240033090470,Heather Ridge Middle School,Frederick County Public Schools
HEBBVILLE ELEMENTARY,Maryland,240012000402,Hebbville Elementary,Baltimore County Public Schools
